domain,domain_Age,lifeSpan,registrar_Country,host_Country,Same_Registrar_Host_Country,Privacy,TLD,cheap_TLD,domain_Has_Hyphen,domain_Has_Digits,top1m
npr.org,29.99726027,31,UNITED STATES,IRELAND,False,True,org,False,False,False,True
xing.com,31.29863014,32,GERMANY,GERMANY,True,True,com,False,False,False,True
squarespace.com,20.70958904,22,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
healthline.com,19.28767123,22,UNITED STATES,GERMANY,False,False,com,False,False,False,True
cnn.com,30.22191781,33,UNITED STATES,UNITED STATES,True,True,com,False,False,False,True
cnn.com,30.22191781,33,UNITED STATES,UNITED STATES,True,True,com,False,False,False,True
blogspot.com,23.35890411,24,UNITED STATES,UNITED STATES,True,False,com,False,False,False,False
office.com,24.64383562,25,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
tripod.com,29.20273973,29,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
gofundme.com,13.87671233,13,UNITED STATES,IRELAND,False,False,com,False,False,False,True
bmj.com,28.79452055,29,FRANCE,IRELAND,False,True,com,False,False,False,True
marriott.com,30.93424658,30,UNITED STATES,FRANCE,False,False,com,False,False,False,True
theconversation.com,20.53150685,21,UNITED STATES,CANADA,False,True,com,False,False,False,True
networkadvertising.org,24.10684932,25,UNITED STATES,IRELAND,False,True,org,False,False,False,True
pinterest.com,14.03013699,15,UNITED STATES,CANADA,False,False,com,False,False,False,True
gravatar.com,19.4,20,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
tiktok.com,27.39178082,27,CAYMAN ISLANDS,IRELAND,False,True,com,False,False,False,True
ca.gov,26.19178082,26,REDACTED FOR PRIVACY,UNITED STATES,False,True,gov,False,False,False,True
jimdo.com,18.01917808,18,GERMANY,CANADA,False,True,com,False,False,False,True
feedburner.com,20.02191781,21,UNITED STATES,ITALY,False,False,com,False,False,False,True
github.com,16.16438356,17,UNITED STATES,GERMANY,False,False,com,False,False,False,True
wordpress.com,23.77260274,32,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
vice.com,26.53972603,31,UNITED KINGDOM,UNITED STATES,False,False,com,False,False,False,True
goodreads.com,21.00273973,22,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
doi.org,24.89315068,28,UNITED STATES,CANADA,False,True,org,False,False,False,True
mashable.com,18.3890411,20,UNITED STATES,CANADA,False,False,com,False,False,False,True
trustpilot.com,16.44109589,12,DENMARK,IRELAND,False,True,com,False,False,False,True
yahoo.com,28.89863014,29,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
springer.com,26.5369863,14,NETHERLANDS,FRANCE,False,False,com,False,False,False,True
list-manage.com,17.64109589,24,UNITED STATES,UNITED STATES,True,True,com,False,True,False,True
