age,total_life,R_Country,H_Country,Same_RH_Country,Privacy,TLD,cheap_TLD,dom_has_hyphen,dom_has_digits,top1m,has_Social,external_links,internal_links,label
7.5726,8,4,3,0,1,1,0,0,0,0,1,8,47,1
0.0356,1,4,3,0,0,7,1,0,0,0,0,0,63,1
5.3425,6,2,1,0,1,43,0,0,0,0,0,0,0,1
0.7397,1,2,9,0,1,43,0,0,0,0,0,0,71,1
4.726,5,1,3,0,0,1,0,0,0,0,0,0,0,1
5.3699,6,1,3,0,0,1,0,0,0,0,1,5,3,1
11.6767,12,1,3,0,0,1,0,1,0,0,0,2,0,1
5.7945,6,1,1,1,0,1,0,0,0,0,1,1,0,1
5.1589,6,1,1,1,0,1,0,0,0,0,0,0,0,1
5.2822,6,13,1,0,1,1,0,0,0,0,0,0,0,1
1.3288,2,1,9,0,0,1,0,0,0,0,1,2,1,1
1.3288,2,1,3,0,0,1,0,0,0,0,1,2,1,1
6.9589,8,2,3,0,0,1,0,0,0,0,0,0,4,1
11.4986,12,1,3,0,0,1,0,0,0,1,0,0,15,1
1.1397,2,14,9,0,0,11,1,0,0,0,0,1,0,1
10.063,12,15,3,0,1,1,0,0,0,1,0,2,0,1
12.8329,13,2,3,0,0,1,0,0,0,0,1,6,37,1
6.4685,7,4,3,0,0,1,0,1,0,0,0,1,2,1
4.411,5,1,1,1,1,1,0,0,0,0,1,37,1,1
7.4849,8,8,16,0,1,9,0,0,0,0,1,19,1,1
5.389,6,1,3,0,0,1,0,0,0,0,1,6,17,1
0.2411,1,17,17,0,0,10,0,0,0,0,0,0,0,1
5.6301,6,3,3,1,0,1,0,0,0,0,1,3,0,1
7.1507,8,1,1,1,0,1,0,0,0,0,1,4,1,1
7.8493,9,1,1,1,0,1,0,0,0,0,0,45,20,1
5.3918,6,18,10,0,0,1,0,0,0,0,0,1,0,1
7.3096,7,3,1,0,0,11,1,0,0,0,1,6,44,1
6.0164,7,1,1,1,0,1,0,0,0,0,1,135,0,1
12.8164,13,1,3,0,0,1,0,0,0,0,1,10,11,1
6.2904,7,3,1,0,0,1,0,1,0,0,0,1,0,1
6.7781,12,1,1,1,0,1,0,0,0,0,0,3,0,1
5.9123,6,14,10,0,0,1,0,0,0,0,0,0,0,1
3.3781,4,999,3,0,1,12,0,0,0,0,0,2,16,1
6.5562,7,1,1,1,0,1,0,0,0,0,1,11,13,1
6.7068,8,19,19,1,1,1,0,0,0,0,1,9,13,1
6.1945,7,3,1,0,1,13,0,0,0,0,1,14,0,1
6.2192,7,1,1,1,1,14,0,0,0,0,1,12,0,1
7.2438,8,1,7,0,1,43,0,0,0,0,1,14,3,1
6.0137,7,1,3,0,1,1,0,0,0,0,1,13,1,1
6.3233,7,1,9,0,0,5,0,0,0,0,1,20,93,1
5,5,20,10,0,0,1,0,0,0,0,0,1,0,1
3.737,4,1,1,1,0,1,0,0,0,0,0,0,11,1
3.3233,4,21,3,0,0,1,0,0,0,0,0,0,0,1
7.0712,8,1,3,0,0,1,0,0,0,0,1,7,16,1
7.0712,8,1,3,0,0,1,0,0,0,0,1,23,0,1
7.4822,8,1,1,1,0,15,0,0,0,1,0,30,0,1
7.4822,8,1,1,1,0,15,0,0,0,1,0,30,1,1
4.9973,6,1,3,0,0,1,0,1,0,1,0,4,14,1
7,8,1,1,1,0,1,0,0,0,0,1,4,51,1
6.9534,8,2,1,0,0,1,0,0,0,0,0,0,19,1
7.6603,8,1,1,1,0,1,0,1,0,0,1,2,0,1
6.9534,8,1,3,0,1,16,0,0,0,0,1,3,1,1
0.7205,1,2,5,0,0,1,0,0,0,0,0,1,2,1
4.789,5,2,22,0,1,9,0,0,0,0,0,5,11,1
5.1644,6,1,3,0,0,1,0,0,0,0,1,14,5,1
8,8,1,1,1,0,1,0,0,1,0,0,4,0,1
5.9205,7,3,9,0,0,1,0,0,0,0,0,0,269,1
7.6192,8,1,1,1,0,1,0,0,0,0,0,0,2,1
8.9205,10,1,1,1,0,1,0,0,0,0,0,0,0,1
4.8027,5,1,1,1,0,1,0,0,0,0,0,0,0,1
12.0493,13,1,1,1,1,1,0,0,0,0,1,7,27,1
3.6932,4,1,1,1,0,1,0,0,0,0,1,17,0,1
5.0822,6,1,1,1,1,3,0,0,0,0,0,19,8,1
6.1452,9,1,3,0,0,1,0,0,0,0,0,1,0,1
4.9288,7,2,3,0,0,5,0,0,0,0,1,3,12,1
5.2822,6,1,12,0,0,1,0,0,0,0,0,2,34,1
5.2712,6,3,3,1,0,1,0,0,0,0,1,2,0,1
0.0822,3,1,1,1,0,1,0,0,0,0,1,124,0,1
5.4575,6,14,3,0,0,1,0,0,0,0,0,0,15,1
0.5178,1,2,1,0,1,9,0,0,0,0,0,6,41,1
2.4466,3,1,1,1,1,3,0,0,0,0,0,0,0,1
6.7479,7,11,16,0,1,5,0,0,0,0,0,1,16,1
5.9589,6,1,3,0,1,1,0,0,0,0,0,0,13,1
1.1288,2,1,23,0,0,1,0,0,0,0,1,15,173,1
0.0932,1,1,1,1,1,1,0,0,0,0,0,0,0,1
12.9425,13,1,1,1,0,1,0,0,0,0,0,1,0,1
5.3041,6,2,1,0,0,1,0,0,0,0,0,28,2,1
6,6,1,1,1,0,1,0,0,0,0,1,2,0,1
11.137,12,24,3,0,0,5,0,0,0,0,0,0,12,1
2.1288,3,2,1,0,0,1,0,0,0,0,0,0,0,1
4.9781,5,2,1,0,1,9,0,0,0,0,0,0,0,1
5.7616,7,1,3,0,0,1,0,0,0,0,1,3,153,1
5.6219,6,1,1,1,1,3,0,0,0,0,0,0,0,1
3.9014,5,999,1,0,1,1,0,0,1,0,0,0,0,1
6.2411,8,1,1,1,0,1,0,0,0,0,0,7,16,1
1.3753,2,14,9,0,0,1,0,0,0,0,0,9,0,1
5.1534,6,2,1,0,1,9,0,0,0,0,0,2,12,1
6.5342,7,1,1,1,0,1,0,1,0,0,0,1,5,1
1.789,2,999,9,0,1,6,0,0,0,0,0,1,0,1
5.2575,7,1,1,1,0,1,0,0,0,0,1,1,63,1
12.5918,13,1,3,0,0,1,0,0,0,0,1,34,10,1
2.2548,3,1,3,0,1,1,0,0,0,0,0,4,1,1
8.4356,10,1,3,0,0,11,1,0,0,0,0,0,0,1
1.3151,2,1,9,0,1,9,0,0,0,0,0,0,0,1
5.3479,6,1,3,0,1,1,0,0,0,0,0,4,57,1
4.926,7,2,1,0,1,9,0,0,0,1,0,1,9,1
6.9699,9,1,1,1,0,1,0,0,0,0,1,9,50,1
